Labels	quencher 0.0 mM	
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
669.92190	6.300E+1	
670.89840	5.000E+1	
671.8750	5.000E+1	
672.85160	4.200E+1	
673.82810	5.500E+1	
674.80470	5.500E+1	
675.78130	4.500E+1	
676.75780	4.800E+1	
677.73440	4.400E+1	
678.71090	4.800E+1	
679.68750	6.000E+1	
680.66410	4.600E+1	
681.64060	4.700E+1	
682.61720	5.500E+1	
683.59380	5.000E+1	
684.57030	3.700E+1	
685.54690	3.900E+1	
686.52340	4.400E+1	
687.50	5.400E+1	
688.47660	5.000E+1	
689.45310	3.800E+1	
690.42970	5.000E+1	
691.40630	5.200E+1	
692.38280	4.800E+1	
693.35940	4.900E+1	
694.33590	4.900E+1	
695.31250	6.500E+1	
696.28910	5.800E+1	
697.26560	4.000E+1	
698.24220	6.100E+1	
699.21880	5.300E+1	
700.19530	4.700E+1	
701.17190	5.800E+1	
702.14840	4.000E+1	
703.1250	4.100E+1	
704.10160	5.300E+1	
705.07810	3.500E+1	
706.05470	5.800E+1	
707.03130	4.300E+1	
708.00780	4.800E+1	
708.98440	4.700E+1	
709.96090	4.100E+1	
710.93750	5.200E+1	
711.91410	3.700E+1	
712.89060	4.600E+1	
713.86720	4.600E+1	
714.84380	4.900E+1	
715.82030	4.600E+1	
716.79690	3.800E+1	
717.77340	4.100E+1	
718.750	4.400E+1	
719.72660	3.900E+1	
720.70310	3.300E+1	
721.67970	4.000E+1	
722.65630	4.100E+1	
723.63280	3.500E+1	
724.60940	3.500E+1	
725.58590	4.000E+1	
726.56250	5.000E+1	
727.53910	3.500E+1	
728.51560	3.400E+1	
729.49220	4.500E+1	
730.46880	5.100E+1	
731.44530	3.700E+1	
732.42190	4.800E+1	
733.39840	5.500E+1	
734.3750	4.200E+1	
735.35160	5.400E+1	
736.32810	4.000E+1	
737.30470	4.700E+1	
738.28130	3.400E+1	
739.25780	5.200E+1	
740.23440	4.400E+1	
741.21090	4.700E+1	
742.18750	4.800E+1	
743.16410	4.900E+1	
744.14060	2.800E+1	
745.11720	4.000E+1	
746.09380	3.500E+1	
747.07030	3.500E+1	
748.04690	4.000E+1	
749.02340	4.100E+1	
750.0	3.400E+1	
750.97660	3.800E+1	
751.95310	3.600E+1	
752.92970	3.300E+1	
753.90630	4.500E+1	
754.88280	3.200E+1	
755.85940	4.000E+1	
756.83590	4.000E+1	
757.81250	3.600E+1	
758.78910	3.900E+1	
759.76560	2.800E+1	
760.74220	4.100E+1	
761.71880	3.300E+1	
762.69530	3.600E+1	
763.67190	4.800E+1	
764.64840	4.700E+1	
765.6250	3.300E+1	
766.60160	4.100E+1	
767.57810	2.700E+1	
768.55470	2.900E+1	
769.53130	3.500E+1	
770.50780	3.400E+1	
771.48440	3.500E+1	
772.46090	4.000E+1	
773.43750	2.400E+1	
774.41410	3.000E+1	
775.39060	3.700E+1	
776.36720	3.500E+1	
777.34380	3.600E+1	
778.32030	4.300E+1	
779.29690	3.100E+1	
780.27340	4.800E+1	
781.250	3.100E+1	
782.22660	3.000E+1	
783.20310	4.100E+1	
784.17970	4.400E+1	
785.15630	3.700E+1	
786.13280	3.100E+1	
787.10940	2.800E+1	
788.08590	3.200E+1	
789.06250	2.900E+1	
790.03910	3.700E+1	
791.01560	3.800E+1	
791.99220	3.200E+1	
792.96880	3.000E+1	
793.94530	3.300E+1	
794.92190	2.600E+1	
795.89840	2.300E+1	
796.8750	3.800E+1	
797.85160	2.800E+1	
798.82810	2.800E+1	
799.80470	2.900E+1	
