Labels	quencher 0.5 mM		
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
868.16410	9.000E+0	
869.14060	1.100E+1	
870.11720	1.200E+1	
871.09380	1.500E+1	
872.07030	1.100E+1	
873.04690	1.500E+1	
874.02340	1.200E+1	
875.0	1.500E+1	
875.97660	2.500E+1	
876.95310	1.700E+1	
877.92970	8.000E+0	
878.90630	1.600E+1	
879.88280	1.800E+1	
880.85940	2.000E+1	
881.83590	1.500E+1	
882.81250	1.500E+1	
883.78910	1.800E+1	
884.76560	1.100E+1	
885.74220	1.300E+1	
886.71880	1.100E+1	
887.69530	1.000E+1	
888.67190	1.700E+1	
889.64840	1.600E+1	
890.6250	1.500E+1	
891.60160	1.300E+1	
892.57810	1.500E+1	
893.55470	1.300E+1	
894.53130	1.300E+1	
895.50780	9.000E+0	
896.48440	9.000E+0	
897.46090	2.000E+1	
898.43750	9.000E+0	
899.41410	8.000E+0	
900.39060	1.100E+1	
901.36720	1.200E+1	
902.34380	1.300E+1	
903.32030	1.400E+1	
904.29690	1.300E+1	
905.27340	1.400E+1	
906.250	8.000E+0	
907.22660	1.400E+1	
908.20310	2.200E+1	
909.17970	1.200E+1	
910.15630	1.600E+1	
911.13280	1.500E+1	
912.10940	1.300E+1	
913.08590	1.200E+1	
914.06250	1.500E+1	
915.03910	9.000E+0	
916.01560	1.700E+1	
916.99220	1.100E+1	
917.96880	1.000E+1	
918.94530	2.500E+1	
919.92190	1.500E+1	
920.89840	1.700E+1	
921.8750	1.600E+1	
922.85160	1.300E+1	
923.82810	1.400E+1	
924.80470	1.200E+1	
925.78130	1.100E+1	
926.75780	2.100E+1	
927.73440	1.300E+1	
928.71090	1.100E+1	
929.68750	1.300E+1	
930.66410	1.200E+1	
931.64060	1.500E+1	
932.61720	1.500E+1	
933.59380	1.300E+1	
934.57030	1.000E+1	
935.54690	1.800E+1	
936.52340	8.000E+0	
937.50	1.600E+1	
938.47660	1.000E+1	
939.45310	1.000E+1	
940.42970	1.300E+1	
941.40630	1.800E+1	
942.38280	1.700E+1	
943.35940	1.500E+1	
944.33590	1.100E+1	
945.31250	8.000E+0	
946.28910	1.200E+1	
947.26560	1.200E+1	
948.24220	2.000E+1	
949.21880	1.800E+1	
950.19530	9.000E+0	
951.17190	1.600E+1	
952.14840	1.400E+1	
953.1250	1.100E+1	
954.10160	1.000E+1	
955.07810	1.900E+1	
956.05470	9.000E+0	
957.03130	1.300E+1	
958.00780	1.500E+1	
958.98440	1.400E+1	
959.96090	1.200E+1	
960.93750	9.000E+0	
961.91410	1.200E+1	
962.89060	7.000E+0	
963.86720	1.400E+1	
964.84380	1.500E+1	
965.82030	7.000E+0	
966.79690	1.800E+1	
967.77340	1.300E+1	
968.750	1.600E+1	
969.72660	1.200E+1	
970.70310	1.400E+1	
971.67970	1.800E+1	
972.65630	1.300E+1	
973.63280	1.800E+1	
974.60940	1.200E+1	
975.58590	8.000E+0	
976.56250	1.700E+1	
977.53910	9.000E+0	
978.51560	1.100E+1	
979.49220	1.400E+1	
980.46880	9.000E+0	
981.44530	1.800E+1	
982.42190	1.500E+1	
983.39840	1.700E+1	
984.3750	8.000E+0	
985.35160	6.000E+0	
986.32810	6.000E+0	
987.30470	1.500E+1	
988.28130	1.500E+1	
989.25780	1.300E+1	
990.23440	1.200E+1	
991.21090	1.000E+1	
992.18750	1.400E+1	
993.16410	9.000E+0	
994.14060	1.200E+1	
995.11720	1.400E+1	
996.09380	9.000E+0	
997.07030	1.700E+1	
998.04690	1.700E+1	
999.02340	1.200E+1	
