Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	MilliVolt

X		Y		Z
2.5781	?m	0.0000	?m	18.005371094	mV
2.5898	?m	0.0000	?m	10.375976562	mV
2.6016	?m	0.0000	?m	5.187988281	mV
2.6133	?m	0.0000	?m	4.882812500	mV
2.6250	?m	0.0000	?m	1.525878906	mV
2.6367	?m	0.0000	?m	6.408691406	mV
2.6484	?m	0.0000	?m	4.882812500	mV
2.6602	?m	0.0000	?m	0.915527344	mV
2.6719	?m	0.0000	?m	2.441406250	mV
2.6836	?m	0.0000	?m	-0.305175781	mV
2.6953	?m	0.0000	?m	-0.305175781	mV
2.7070	?m	0.0000	?m	-4.577636719	mV
2.7188	?m	0.0000	?m	-6.408691406	mV
2.7305	?m	0.0000	?m	-6.408691406	mV
2.7422	?m	0.0000	?m	-10.070800781	mV
2.7539	?m	0.0000	?m	-18.615722656	mV
2.7656	?m	0.0000	?m	-7.324218750	mV
2.7773	?m	0.0000	?m	-7.629394531	mV
2.7891	?m	0.0000	?m	-3.051757812	mV
2.8008	?m	0.0000	?m	-7.629394531	mV
2.8125	?m	0.0000	?m	-3.051757812	mV
2.8242	?m	0.0000	?m	-3.051757812	mV
2.8359	?m	0.0000	?m	-5.798339844	mV
2.8477	?m	0.0000	?m	-0.915527344	mV
2.8594	?m	0.0000	?m	0.000000000	mV
2.8711	?m	0.0000	?m	0.305175781	mV
2.8828	?m	0.0000	?m	1.831054688	mV
2.8945	?m	0.0000	?m	1.525878906	mV
2.9062	?m	0.0000	?m	2.136230469	mV
2.9180	?m	0.0000	?m	4.272460938	mV
2.9297	?m	0.0000	?m	5.187988281	mV
2.9414	?m	0.0000	?m	4.882812500	mV
2.9531	?m	0.0000	?m	7.629394531	mV
2.9648	?m	0.0000	?m	12.817382812	mV
2.9766	?m	0.0000	?m	12.207031250	mV
2.9883	?m	0.0000	?m	13.122558594	mV
0.0000	?m	0.0117	?m	20.141601562	mV
0.0117	?m	0.0117	?m	16.479492188	mV
0.0234	?m	0.0117	?m	22.277832031	mV
0.0352	?m	0.0117	?m	18.920898438	mV
0.0469	?m	0.0117	?m	23.193359375	mV
0.0586	?m	0.0117	?m	25.939941406	mV
0.0703	?m	0.0117	?m	21.667480469	mV
0.0820	?m	0.0117	?m	19.531250000	mV
0.0938	?m	0.0117	?m	13.427734375	mV
0.1055	?m	0.0117	?m	17.089843750	mV
0.1172	?m	0.0117	?m	7.934570312	mV
0.1289	?m	0.0117	?m	7.629394531	mV
0.1406	?m	0.0117	?m	3.356933594	mV
0.1523	?m	0.0117	?m	0.000000000	mV
0.1641	?m	0.0117	?m	-0.610351562	mV
0.1758	?m	0.0117	?m	0.915527344	mV
0.1875	?m	0.0117	?m	-1.525878906	mV
0.1992	?m	0.0117	?m	-3.967285156	mV
0.2109	?m	0.0117	?m	-28.991699219	mV
0.2227	?m	0.0117	?m	-4.882812500	mV
0.2344	?m	0.0117	?m	-5.493164062	mV
0.2461	?m	0.0117	?m	-3.967285156	mV
0.2578	?m	0.0117	?m	-4.882812500	mV
0.2695	?m	0.0117	?m	-8.544921875	mV
0.2812	?m	0.0117	?m	-21.972656250	mV
0.2930	?m	0.0117	?m	-25.634765625	mV
0.3047	?m	0.0117	?m	-21.057128906	mV
0.3164	?m	0.0117	?m	-15.258789062	mV
0.3281	?m	0.0117	?m	-11.901855469	mV
0.3398	?m	0.0117	?m	-13.427734375	mV
0.3516	?m	0.0117	?m	-10.681152344	mV
0.3633	?m	0.0117	?m	-7.324218750	mV
0.3750	?m	0.0117	?m	-10.375976562	mV
0.3867	?m	0.0117	?m	-5.798339844	mV
0.3984	?m	0.0117	?m	-6.103515625	mV
0.4102	?m	0.0117	?m	-5.493164062	mV
