unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
T,NHAZ,DSP_L,W102,TR	: 	937089 	136933 	280468 	250451 	3712 
T,NHAZ,DSP_L,W102,UK	295212 	385801 	462490 	228044 	886798 	25194679 
T,NHAZ,DSP_L,W103,AT	168152 	162866 	242505 	313906 	292048 	181877 
T,NHAZ,DSP_L,W103,BE	607180 	228676 	596653 	732075 	405808 	473294 
T,NHAZ,DSP_L,W103,BG	31250 	45685 	282 	11151 	4762 	23139 
T,NHAZ,DSP_L,W103,CY	10155 	2576 	2006 	65 	0 	675 
T,NHAZ,DSP_L,W103,CZ	64306 	39990 	54134 	83982 	50450 	119106 
T,NHAZ,DSP_L,W103,DE	: c	708694 	617091 	1343838 	1572164 	7460989 
T,NHAZ,DSP_L,W103,DK	21669 	25156 	31622 	0 	0 	0 
T,NHAZ,DSP_L,W103,EE	10281 	18165 	9774 	17463 	11521 	14994 
T,NHAZ,DSP_L,W103,EL	211059 	221737 	146897 	15049 	37913 	400740 
T,NHAZ,DSP_L,W103,ES	8190485 	5737761 	5651140 	2653550 	878640 	902490 
T,NHAZ,DSP_L,W103,EU28	36950000 	32160000 	28370000 	27050000 	20530000 	19440000 
T,NHAZ,DSP_L,W103,FI	71669 	127528 	425305 	158441 	137917 	72085 
T,NHAZ,DSP_L,W103,FR	4129287 	3495569 	3294052 	3403009 	2758450 	1411000 
T,NHAZ,DSP_L,W103,HR	33120 	2462 	1355 	5042 	9876 	7699 
T,NHAZ,DSP_L,W103,HU	413800 	73772 	63568 	103168 	86313 	80962 
T,NHAZ,DSP_L,W103,IE	209135 	168524 	441233 	1423 	3553 	1376 
T,NHAZ,DSP_L,W103,IS	2093 b	0 	0 	0 	: 	0 
T,NHAZ,DSP_L,W103,IT	8515043 	7618009 	2064416 	2134139 	1591216 	6552984 
T,NHAZ,DSP_L,W103,LT	205390 	147644 	22600 	3283 	3517 	26181 
T,NHAZ,DSP_L,W103,LU	: c	18439 	20890 	22749 	138 	1205 
T,NHAZ,DSP_L,W103,LV	129002 	57 	132 	173 	0 	0 
T,NHAZ,DSP_L,W103,MK	140 	1400 	3 	833 	: 	: 
T,NHAZ,DSP_L,W103,MT	45551 	45406 	9236 	401 	14363 	17956 
T,NHAZ,DSP_L,W103,NL	170275 	37646 	39143 	209576 	520141 	182277 
T,NHAZ,DSP_L,W103,NO	84846 	0 	0 	0 	0 	0 
T,NHAZ,DSP_L,W103,PL	3085635 	2776115 	2544637 	1800764 	581995 	391530 
T,NHAZ,DSP_L,W103,PT	73214 	65430 	42873 	52433 	316900 	81806 
T,NHAZ,DSP_L,W103,RO	766100 	489241 	590722 	24426 	7140 	7686 
T,NHAZ,DSP_L,W103,RS	4709 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W103,SE	285689 	247405 	279583 	507599 	311483 	477942 
T,NHAZ,DSP_L,W103,SI	18078 	18655 	21243 	18762 	26580 	18883 
T,NHAZ,DSP_L,W103,SK	6007 	40313 	16341 	20711 	15765 	35440 
T,NHAZ,DSP_L,W103,TR	: 	: 	37112 	104621 	116512 	16710 
T,NHAZ,DSP_L,W103,UK	8875466 	9595781 	11141350 	13414514 	10887759 	497360 
T,NHAZ,DSP_L,W11,AT	3575 	1314 	1330 	: 	: 	: 
T,NHAZ,DSP_L,W11,BE	2616 	6903 	13805 	: 	: 	: 
T,NHAZ,DSP_L,W11,BG	69676 	22420 	12776 	: 	: 	: 
T,NHAZ,DSP_L,W11,CY	0 	10 	81 	: 	: 	: 
T,NHAZ,DSP_L,W11,CZ	8024 	10362 	18544 	: 	: 	: 
T,NHAZ,DSP_L,W11,DE	26863 	2447 	3533 	: 	: 	: 
T,NHAZ,DSP_L,W11,DK	93788 	16608 	43096 	: 	: 	: 
T,NHAZ,DSP_L,W11,EE	723 	29 	79 	: 	: 	: 
T,NHAZ,DSP_L,W11,EL	59490 	47096 	67316 	: 	: 	: 
T,NHAZ,DSP_L,W11,ES	250692 	206410 	480164 	: 	: 	: 
T,NHAZ,DSP_L,W11,EU28	2110000 	2140000 	2350000 	: 	: 	: 
T,NHAZ,DSP_L,W11,FI	20837 	19088 	27357 	: 	: 	: 
T,NHAZ,DSP_L,W11,FR	787910 	840132 	864711 	: 	: 	: 
T,NHAZ,DSP_L,W11,HR	17055 	993 	80807 	: 	: 	: 
T,NHAZ,DSP_L,W11,HU	4746 	25532 	22245 	: 	: 	: 
T,NHAZ,DSP_L,W11,IE	3879 	3455 	15747 	: 	: 	: 
T,NHAZ,DSP_L,W11,IS	2832 b	1965 	2125 	: 	: 	: 
T,NHAZ,DSP_L,W11,IT	440805 	432216 	116083 	: 	: 	: 
T,NHAZ,DSP_L,W11,LT	829 	769 	2072 	: 	: 	: 
T,NHAZ,DSP_L,W11,LU	0 	0 	1 	: 	: 	: 
T,NHAZ,DSP_L,W11,LV	1253 	13793 	74 	: 	: 	: 
T,NHAZ,DSP_L,W11,ME	10196 	: 	: 	: 	: 	: 
T,NHAZ,DSP_L,W11,MK	4765 	6355513 	1788 	: 	: 	: 
T,NHAZ,DSP_L,W11,MT	9627 	10835 	1509 	: 	: 	: 
T,NHAZ,DSP_L,W11,NL	33969 	36414 	42240 	: 	: 	: 
T,NHAZ,DSP_L,W11,NO	76210 	19270 	13310 	: 	: 	: 
T,NHAZ,DSP_L,W11,PL	29241 	34793 	163034 	: 	: 	: 
T,NHAZ,DSP_L,W11,PT	62394 	89155 	95658 	: 	: 	: 
T,NHAZ,DSP_L,W11,RO	110545 	210139 	66254 	: 	: 	: 
T,NHAZ,DSP_L,W11,RS	140729 	8 	18 	: 	: 	: 
T,NHAZ,DSP_L,W11,SE	1563 	6528 	26478 	: 	: 	: 
T,NHAZ,DSP_L,W11,SI	179 	3035 	9095 	: 	: 	: 
T,NHAZ,DSP_L,W11,SK	34636 	65190 	62534 	: 	: 	: 
T,NHAZ,DSP_L,W11,TR	: 	48968 	37574 	: 	: 	: 
T,NHAZ,DSP_L,W11,UK	30733 	36494 	117059 	: 	: 	: 
T,NHAZ,DSP_L,W11_127,AT	: 	: 	: 	6018 	14579 	63908 
T,NHAZ,DSP_L,W11_127,BE	: 	: 	: 	40404 	3460 	11300 
T,NHAZ,DSP_L,W11_127,BG	: 	: 	: 	691357 	38736 	961152 
T,NHAZ,DSP_L,W11_127,CY	: 	: 	: 	61264 	93 	192918 
T,NHAZ,DSP_L,W11_127,CZ	: 	: 	: 	14413 	22420 	144000 
T,NHAZ,DSP_L,W11_127,DE	: c	: 	: 	36759 	78423 	131391 
T,NHAZ,DSP_L,W11_127,DK	: 	: 	: 	9391 	10530 	39237 
T,NHAZ,DSP_L,W11_127,EE	: 	: 	: 	88 	339 	1789 
T,NHAZ,DSP_L,W11_127,EL	: 	: 	: 	61789 	133099 	115611 
T,NHAZ,DSP_L,W11_127,ES	: 	: 	: 	831008 	298157 	289693 
T,NHAZ,DSP_L,W11_127,EU28	: 	: 	: 	39110000 	39230000 	37580000 
T,NHAZ,DSP_L,W11_127,FI	: 	: 	: 	25532 	40327 	76740 
T,NHAZ,DSP_L,W11_127,FR	: 	: 	: 	760567 	1300190 	615000 
T,NHAZ,DSP_L,W11_127,HR	: 	: 	: 	24472 	15796 	343987 
T,NHAZ,DSP_L,W11_127,HU	: 	: 	: 	46454 	67111 	65614 
T,NHAZ,DSP_L,W11_127,IE	: 	: 	: 	38335 	8009 	8389 
T,NHAZ,DSP_L,W11_127,IS	: b	: 	: 	5178 	: 	1000 
T,NHAZ,DSP_L,W11_127,IT	: 	: 	: 	128522 	157858 	76824 
T,NHAZ,DSP_L,W11_127,LT	: 	: 	: 	14088 	31945 	21130 
T,NHAZ,DSP_L,W11_127,LU	: 	: 	: 	: 	0 	3 
T,NHAZ,DSP_L,W11_127,LV	: 	: 	: 	129 	30 	49 
T,NHAZ,DSP_L,W11_127,MK	: 	: 	: 	20582 	: 	: 
T,NHAZ,DSP_L,W11_127,MT	: 	: 	: 	146 	9 	213 
T,NHAZ,DSP_L,W11_127,NL	: 	: 	: 	18503356 	18041389 	18727141 
T,NHAZ,DSP_L,W11_127,NO	: 	: 	: 	2437 	5606 	10389 
T,NHAZ,DSP_L,W11_127,PL	: 	: 	: 	364643 	124733 	18085 
T,NHAZ,DSP_L,W11_127,PT	: 	: 	: 	90687 	171937 	103031 
T,NHAZ,DSP_L,W11_127,RO	: 	: 	: 	6745 	151484 	26538 
T,NHAZ,DSP_L,W11_127,SE	: 	: 	: 	87732 	27383 	207692 
T,NHAZ,DSP_L,W11_127,SI	: 	: 	: 	234452 	69547 	348654 
T,NHAZ,DSP_L,W11_127,SK	: 	: 	: 	619109 	2830958 	444430 
T,NHAZ,DSP_L,W11_127,TR	: 	: 	: 	9787 	3229 	15016 
T,NHAZ,DSP_L,W11_127,UK	: 	: 	: 	16415666 	15591386 	14544397 
T,NHAZ,DSP_L,W12-13,AT	20433269 	11332312 	11358022 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,BE	1756502 	1503283 	701518 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,BG	156328744 	139349427 	140721652 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,CY	481186 	940909 	421789 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,CZ	: c	756542 	722338 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,DE	: c	57346930 	61452199 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,DK	2405701 	1862480 	1528247 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,EE	4571564 	539230 	3396383 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,EL	54544266 	57922659 	53021924 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,ES	29614775 	29922203 	26251644 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,EU28	951550000 	949380000 	873340000 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,FI	72864921 	45490749 	60340737 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,FR	66102845 	82515621 	86513936 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,HR	364369 	492323 	263493 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,HU	2843467 	3938716 	4376329 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,IE	3549743 	3595144 	4142972 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,IS	7814 b	2517 	6017 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,IT	6636812 	6584310 	6749126 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,LT	2284450 	2110638 	2170260 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,LU	: c	3465751 	6053944 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,LV	16672 	15825 	18902 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,ME	402484 	: 	: 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,MK	20601 	1234739 	1587549 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,MT	218666 	520799 	799183 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,NL	57309166 	45717779 	44889953 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,NO	839591 	495417 	672928 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,PL	35772914 	30348163 	21789405 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,PT	429611 	609367 	872140 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,RO	157000810 	231595719 	182969462 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,RS	32781786 	39774942 	21440891 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,SE	136831380 	123789991 	86491709 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,SI	249889 	269237 	714294 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,SK	2323435 	2365334 	2030291 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,TR	: 	644362763 	548317534 	: 	: 	: 
T,NHAZ,DSP_L,W12-13,UK	67498976 	64480530 	62581108 	: 	: 	: 
T,NHAZ,DSP_L,W121,AT	576123 	499809 	487481 	: 	: 	: 
T,NHAZ,DSP_L,W121,BE	112177 	212104 	121771 	: 	: 	: 
T,NHAZ,DSP_L,W121,BG	29487 	417739 	18753 	: 	: 	: 
T,NHAZ,DSP_L,W121,CY	68949 	54801 	148360 	: 	: 	: 
T,NHAZ,DSP_L,W121,CZ	359713 	309170 	259297 	: 	: 	: 
T,NHAZ,DSP_L,W121,DE	: c	3659433 	2854646 	: 	: 	: 
T,NHAZ,DSP_L,W121,DK	125618 	109951 	115195 	: 	: 	: 
T,NHAZ,DSP_L,W121,EE	18052 	19779 	21522 	: 	: 	: 
T,NHAZ,DSP_L,W121,EL	139486 	601668 	1544505 	: 	: 	: 
T,NHAZ,DSP_L,W121,ES	2107496 	4292972 	3966681 	: 	: 	: 
T,NHAZ,DSP_L,W121,EU28	30500000 	39300000 	60920000 	: 	: 	: 
T,NHAZ,DSP_L,W121,FI	115075 	3645000 	23308845 	: 	: 	: 
T,NHAZ,DSP_L,W121,FR	17546559 	20808249 	21903420 	: 	: 	: 
T,NHAZ,DSP_L,W121,HR	86801 	121345 	40333 	: 	: 	: 
T,NHAZ,DSP_L,W121,HU	327447 	475744 	924651 	: 	: 	: 
T,NHAZ,DSP_L,W121,IE	1048 	933 	11658 	: 	: 	: 
T,NHAZ,DSP_L,W121,IS	4626 b	0 	1834 	: 	: 	: 
T,NHAZ,DSP_L,W121,IT	1007178 	891114 	961921 	: 	: 	: 
T,NHAZ,DSP_L,W121,LT	44989 	52591 	86034 	: 	: 	: 
T,NHAZ,DSP_L,W121,LU	: c	7012 	10749 	: 	: 	: 
T,NHAZ,DSP_L,W121,LV	9588 	6708 	13441 	: 	: 	: 
T,NHAZ,DSP_L,W121,ME	3531 	: 	: 	: 	: 	: 
T,NHAZ,DSP_L,W121,MK	7268 	8361 	60 	: 	: 	: 
T,NHAZ,DSP_L,W121,MT	1325 	1536 	636638 	: 	: 	: 
T,NHAZ,DSP_L,W121,NL	11324 	11538 	12446 	: 	: 	: 
T,NHAZ,DSP_L,W121,NO	411839 	208967 	184593 	: 	: 	: 
T,NHAZ,DSP_L,W121,PL	213484 	232881 	234344 	: 	: 	: 
T,NHAZ,DSP_L,W121,PT	22261 	108253 	221790 	: 	: 	: 
T,NHAZ,DSP_L,W121,RO	232799 	257367 	465789 	: 	: 	: 
T,NHAZ,DSP_L,W121,RS	49953 	870 	125 	: 	: 	: 
T,NHAZ,DSP_L,W121,SE	413161 	87519 	175937 	: 	: 	: 
T,NHAZ,DSP_L,W121,SI	12611 	23144 	41008 	: 	: 	: 
T,NHAZ,DSP_L,W121,SK	192212 	264896 	257470 	: 	: 	: 
T,NHAZ,DSP_L,W121,TR	: 	219989 	20567 	: 	: 	: 
T,NHAZ,DSP_L,W121,UK	2367263 	2126691 	2072397 	: 	: 	: 
T,NHAZ,DSP_L,W124,AT	477551 	200396 	146510 	: 	: 	: 
T,NHAZ,DSP_L,W124,BE	13756 	12983 	20010 	: 	: 	: 
T,NHAZ,DSP_L,W124,BG	9596738 	10009939 	1640869 	: 	: 	: 
T,NHAZ,DSP_L,W124,CY	0 	0 	7 	: 	: 	: 
T,NHAZ,DSP_L,W124,CZ	41762 	49153 	134399 	: 	: 	: 
T,NHAZ,DSP_L,W124,DE	10450074 	7488462 	5876467 	: 	: 	: 
T,NHAZ,DSP_L,W124,DK	13461 	106457 	105240 	: 	: 	: 
T,NHAZ,DSP_L,W124,EE	194 	18151 	8121 	: 	: 	: 
T,NHAZ,DSP_L,W124,EL	10984423 	13854259 	12303948 	: 	: 	: 
T,NHAZ,DSP_L,W124,ES	5538500 	4881188 	2162258 	: 	: 	: 
T,NHAZ,DSP_L,W124,EU28	64030000 	66780000 	46400000 	: 	: 	: 
T,NHAZ,DSP_L,W124,FI	506945 	751799 	1039290 	: 	: 	: 
T,NHAZ,DSP_L,W124,FR	281444 	464501 	412128 	: 	: 	: 
T,NHAZ,DSP_L,W124,HR	41666 	35721 	42161 	: 	: 	: 
T,NHAZ,DSP_L,W124,HU	2176264 	2771406 	2425756 	: 	: 	: 
T,NHAZ,DSP_L,W124,IE	229820 	347879 	235300 	: 	: 	: 
T,NHAZ,DSP_L,W124,IS	61 b	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W124,IT	2066614 	2193077 	1449044 	: 	: 	: 
T,NHAZ,DSP_L,W124,LT	6206 	7536 	4940 	: 	: 	: 
T,NHAZ,DSP_L,W124,LU	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W124,LV	543 	626 	172 	: 	: 	: 
T,NHAZ,DSP_L,W124,ME	367303 	: 	: 	: 	: 	: 
T,NHAZ,DSP_L,W124,MK	2330 	1168348 	868466 	: 	: 	: 
T,NHAZ,DSP_L,W124,MT	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W124,NL	10396 	14025 	4920 	: 	: 	: 
T,NHAZ,DSP_L,W124,NO	354968 	286450 	481000 	: 	: 	: 
T,NHAZ,DSP_L,W124,PL	10816809 	8788193 	6950781 	: 	: 	: 
T,NHAZ,DSP_L,W124,PT	148216 	267680 	71121 	: 	: 	: 
T,NHAZ,DSP_L,W124,RO	6610658 	8676778 	7300530 	: 	: 	: 
T,NHAZ,DSP_L,W124,RS	4503982 	6232337 	6009489 	: 	: 	: 
T,NHAZ,DSP_L,W124,SE	552841 	448561 	443349 	: 	: 	: 
T,NHAZ,DSP_L,W124,SI	3012 	38157 	151441 	: 	: 	: 
T,NHAZ,DSP_L,W124,SK	1013994 	1195782 	1006250 	: 	: 	: 
T,NHAZ,DSP_L,W124,TR	: 	16615772 	12129219 	: 	: 	: 
T,NHAZ,DSP_L,W124,UK	2446152 	4157175 	2466288 	: 	: 	: 
T,NHAZ,DSP_L,W126,AT	18412867 	9859691 	9859691 	: 	: 	: 
T,NHAZ,DSP_L,W126,BE	978110 	279459 	44346 	: 	: 	: 
T,NHAZ,DSP_L,W126,BG	18575 	24455 	13501 	: 	: 	: 
T,NHAZ,DSP_L,W126,CY	12749 	674236 	214961 	: 	: 	: 
T,NHAZ,DSP_L,W126,CZ	290833 	310554 	211381 	: 	: 	: 
T,NHAZ,DSP_L,W126,DE	: c	12528437 	12583160 	: 	: 	: 
T,NHAZ,DSP_L,W126,DK	2164755 	1511740 	1035238 	: 	: 	: 
T,NHAZ,DSP_L,W126,EE	903 	542 	351 	: 	: 	: 
T,NHAZ,DSP_L,W126,EL	148 	76 	338 	: 	: 	: 
T,NHAZ,DSP_L,W126,ES	3247419 	85322 	334207 	: 	: 	: 
T,NHAZ,DSP_L,W126,EU28	130090000 	108760000 	113150000 	: 	: 	: 
T,NHAZ,DSP_L,W126,FI	14924200 	310000 	561614 	: 	: 	: 
T,NHAZ,DSP_L,W126,FR	44738428 	58157000 	61218104 	: 	: 	: 
T,NHAZ,DSP_L,W126,HR	206133 	300814 	105851 	: 	: 	: 
T,NHAZ,DSP_L,W126,HU	19236 	211562 	297121 	: 	: 	: 
T,NHAZ,DSP_L,W126,IE	28806 	37483 	103983 	: 	: 	: 
T,NHAZ,DSP_L,W126,IS	0 b	209 	0 	: 	: 	: 
T,NHAZ,DSP_L,W126,IT	1702464 	1783978 	2517772 	: 	: 	: 
T,NHAZ,DSP_L,W126,LT	2372 	40733 	16139 	: 	: 	: 
T,NHAZ,DSP_L,W126,LU	3211859 	3458172 	6042751 	: 	: 	: 
T,NHAZ,DSP_L,W126,LV	796 	507 	0 	: 	: 	: 
T,NHAZ,DSP_L,W126,ME	29507 	: 	: 	: 	: 	: 
T,NHAZ,DSP_L,W126,MK	10668 	16214 	58 	: 	: 	: 
T,NHAZ,DSP_L,W126,MT	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W126,NL	156490 	197778 	150870 	: 	: 	: 
T,NHAZ,DSP_L,W126,NO	34819 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W126,PL	1306 	312 	5741 	: 	: 	: 
T,NHAZ,DSP_L,W126,PT	139790 	45261 	48328 	: 	: 	: 
T,NHAZ,DSP_L,W126,RO	294619 	179446 	50533 	: 	: 	: 
T,NHAZ,DSP_L,W126,RS	185887 	0 	17 	: 	: 	: 
T,NHAZ,DSP_L,W126,SE	1611219 	1103546 	1544954 	: 	: 	: 
T,NHAZ,DSP_L,W126,SI	583 	3807 	70611 	: 	: 	: 
T,NHAZ,DSP_L,W126,SK	198500 	140199 	227103 	: 	: 	: 
T,NHAZ,DSP_L,W126,TR	: 	575816 	0 	: 	: 	: 
T,NHAZ,DSP_L,W126,UK	21471436 	17511239 	15889073 	: 	: 	: 
T,NHAZ,DSP_L,W127,AT	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,BE	216491 	291280 	43579 	: 	: 	: 
T,NHAZ,DSP_L,W127,BG	304170 	173906 	21302 	: 	: 	: 
T,NHAZ,DSP_L,W127,CY	2 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,CZ	: c	294 	838 	: 	: 	: 
T,NHAZ,DSP_L,W127,DE	: c	260535 	41710 	: 	: 	: 
T,NHAZ,DSP_L,W127,DK	0 	1 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,EE	0 	6 	46 	: 	: 	: 
T,NHAZ,DSP_L,W127,EL	2 	4 	338 	: 	: 	: 
T,NHAZ,DSP_L,W127,ES	248 	12 	18 	: 	: 	: 
T,NHAZ,DSP_L,W127,EU28	72840000 	63640000 	63700000 	: 	: 	: 
T,NHAZ,DSP_L,W127,FI	222 	50 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,FR	727333 	192220 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,HR	272 	8138 	1114 	: 	: 	: 
T,NHAZ,DSP_L,W127,HU	30349 	62317 	19311 	: 	: 	: 
T,NHAZ,DSP_L,W127,IE	0 	0 	6798 	: 	: 	: 
T,NHAZ,DSP_L,W127,IS	0 b	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,IT	8066 	573 	10053 	: 	: 	: 
T,NHAZ,DSP_L,W127,LT	0 	7 	2 	: 	: 	: 
T,NHAZ,DSP_L,W127,LU	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,LV	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,MK	27 	8684 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,MT	216909 	518840 	128000 	: 	: 	: 
T,NHAZ,DSP_L,W127,NL	56828629 	44972192 	44211003 	: 	: 	: 
T,NHAZ,DSP_L,W127,NO	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,PL	5 	63 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,PT	396 	0 	636 	: 	: 	: 
T,NHAZ,DSP_L,W127,RO	171 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,RS	23195 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,SE	1170259 	1999376 	3546289 	: 	: 	: 
T,NHAZ,DSP_L,W127,SI	8 	4325 	75823 	: 	: 	: 
T,NHAZ,DSP_L,W127,SK	465229 	253047 	153797 	: 	: 	: 
T,NHAZ,DSP_L,W127,TR	: 	1831 	0 	: 	: 	: 
T,NHAZ,DSP_L,W127,UK	12612276 	14900176 	15440659 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,AT	693506 	549661 	703709 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,BE	131855 	682094 	427339 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,BG	471928 	397 	188 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,CY	269 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,CZ	: c	6609 	45381 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,DE	2390237 	2328005 	2544057 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,DK	0 	3589 	3849 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,EE	0 	0 	23 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,EL	2 	600 	0 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,ES	451867 	597159 	551288 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,EU28	8350000 	8010000 	7380000 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,FI	24568 	20162 	12547 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,FR	346748 	218000 	129572 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,HR	5710 	4403 	2585 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,HU	112308 	283661 	101860 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,IE	7898 	41317 	1694 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,IS	0 b	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,IT	786437 	692828 	663519 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,LT	62066 	2774 	1407 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,LU	: c	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,LV	0 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,ME	45 	: 	: 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,MK	20 	400 	7 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,MT	379 	345 	394 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,NL	207290 	349318 	142798 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,NO	37965 	0 	0 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,PL	280105 	364643 	223127 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,PT	20095 	21535 	79020 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,RO	88553 	89478 	5268 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,RS	347 	0 	432 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,SE	34205 	38856 	50529 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,SI	3138 	3668 	2925 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,SK	171184 	184827 	201687 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,TR	: 	: 	894 	: 	: 	: 
T,NHAZ,DSP_L,W128_13,UK	2054537 	1523822 	1489687 	: 	: 	: 
T,NHAZ,DSP_L,W12B,AT	273222 	222755 	160631 	: 	: 	: 
T,NHAZ,DSP_L,W12B,BE	304113 	25363 	44473 	: 	: 	: 
T,NHAZ,DSP_L,W12B,BG	145907846 	128722991 	139027039 	: 	: 	: 
T,NHAZ,DSP_L,W12B,CY	399217 	211872 	58461 	: 	: 	: 
T,NHAZ,DSP_L,W12B,CZ	68941 	80762 	71042 	: 	: 	: 
T,NHAZ,DSP_L,W12B,DE	: c	31082058 	37552159 	: 	: 	: 
T,NHAZ,DSP_L,W12B,DK	101867 	130742 	268725 	: 	: 	: 
T,NHAZ,DSP_L,W12B,EE	4552415 	500752 	3366320 	: 	: 	: 
T,NHAZ,DSP_L,W12B,EL	43420205 	43466052 	39172795 	: 	: 	: 
T,NHAZ,DSP_L,W12B,ES	18269245 	20065550 	19237192 	: 	: 	: 
T,NHAZ,DSP_L,W12B,EU28	645750000 	662900000 	581790000 	: 	: 	: 
T,NHAZ,DSP_L,W12B,FI	57293911 	40763738 	35418441 	: 	: 	: 
T,NHAZ,DSP_L,W12B,FR	2462333 	2675651 	2850712 	: 	: 	: 
T,NHAZ,DSP_L,W12B,HR	23787 	21902 	71449 	: 	: 	: 
T,NHAZ,DSP_L,W12B,HU	177863 	134026 	607630 	: 	: 	: 
T,NHAZ,DSP_L,W12B,IE	3282171 	3167532 	3783539 	: 	: 	: 
T,NHAZ,DSP_L,W12B,IS	3127 b	2308 	4183 	: 	: 	: 
T,NHAZ,DSP_L,W12B,IT	1066053 	1022740 	1146817 	: 	: 	: 
