unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ,DSP_D,W012,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,RS	0 	0 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,SE	2 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,TR	: 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W013,AT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,BE	0 	0 e	0 	0 	0 	0 e
KG_HAB,HAZ,DSP_D,W013,BG	: 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,CY	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,CZ	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,DE	: c	: c	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,DK	1 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,EE	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,EL	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,ES	0 	0 	0 	0 	2 	2 
KG_HAB,HAZ,DSP_D,W013,EU28	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,FI	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,FR	0 	0 	0 	0 	0 	0 s
KG_HAB,HAZ,DSP_D,W013,HR	0 	0 	: c	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,HU	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,IE	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,IS	0 b	0 	0 	0 	: 	0 
KG_HAB,HAZ,DSP_D,W013,IT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,LT	0 	0 	0 	0 	0 	3 
KG_HAB,HAZ,DSP_D,W013,LU	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,LV	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,ME	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W013,MK	1 	0 	0 	0 	: 	: 
KG_HAB,HAZ,DSP_D,W013,MT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,NL	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,NO	1 	1 	0 	6 	4 	3 
KG_HAB,HAZ,DSP_D,W013,PL	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,PT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,RO	0 	0 	0 	0 	2 	0 
KG_HAB,HAZ,DSP_D,W013,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W013,SE	0 	0 e	0 	0 	: c	: c
KG_HAB,HAZ,DSP_D,W013,SI	0 	0 	0 	0 	: 	0 
KG_HAB,HAZ,DSP_D,W013,SK	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,TR	: 	: c	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W013,UK	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W02A,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,BE	1 	1 e	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,BG	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,CZ	0 	0 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,DE	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,DK	6 	3 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,EE	546 	289 	626 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,ES	1 	2 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,EU28	2 	1 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,FI	1 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,FR	0 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,HR	0 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,HU	1 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,IS	15 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,NL	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,NO	28 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,PT	0 	0 	0 	: 	: 	: 
